word	level	pinyin	gloss
他	HSK1	tā	he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis)
她	HSK1	tā	she
太	HSK1	tài	highest; greatest
天气	HSK1	tiān qì	weather
听	HSK1	yǐn	smile (archaic)
同学	HSK1	tóng xué	to study at the same school; fellow student
喂	HSK1	wéi	hello (when answering the phone)
我	HSK1	wǒ	I; me; my
我们	HSK1	wǒ men	we; us
五	HSK1	wǔ	five; 5
喜欢	HSK1	xǐ huan	to like; to be fond of
下	HSK1	xià	down; downwards
下午	HSK1	xià wǔ	afternoon; p.m.
下雨	HSK1	xià yǔ	to rain
先生	HSK1	xiān sheng	teacher; gentleman; sir; mister (Mr.)
现在	HSK1	xiàn zài	now; at present
想	HSK1	xiǎng	to think (about); to think of; to devise
小	HSK1	xiǎo	small; tiny
小姐	HSK1	xiǎo jie	young lady; miss
些	HSK1	xiē	classifier indicating a small amount or small number greater than 1: some, a few, several
写	HSK1	xiě	to write
谢谢	HSK1	xiè xie	to thank; thanks
星期	HSK1	xīng qī	week; day of the week
学生	HSK1	xué sheng	student; schoolchild
学习	HSK1	xué xí	to learn; to study
学校	HSK1	xué xiào	school
一	HSK1	yī	one; single
衣服	HSK1	yī fu	clothes
医生	HSK1	yī shēng	doctor
医院	HSK1	yī yuàn	hospital
椅子	HSK1	yǐ zi	chair
有	HSK1	yǒu	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional)
月	HSK1	yuè	moon; month
再见	HSK1	zài jiàn	goodbye; see you again later
在	HSK1	zài	to exist; to be alive; (of sb or sth) to be (located) at
怎么	HSK1	zěn me	how?; what?
怎么样	HSK1	zěn me yàng	how?; how about?
这	HSK1	zhè	(pronoun) this; these; (bound form) this; the (followed by a noun)
中国	HSK1	Zhōng guó	China
中午	HSK1	zhōng wǔ	noon; midday
住	HSK1	zhù	to live; to dwell
桌子	HSK1	zhuō zi	table; desk
字	HSK1	zì	letter; symbol
昨天	HSK1	zuó tiān	yesterday
坐	HSK1	Zuò	surname Zuo
做	HSK1	zuò	to make; to produce; to write; to compose
吧	HSK2	bā	bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc)
白	HSK2	Bái	surname Bai
百	HSK2	Bǎi	surname Bai
帮助	HSK2	bāng zhù	assistance; aid; to help; to assist
报纸	HSK2	bào zhǐ	newspaper; newsprint
比	HSK2	Bǐ	Belgium; Belgian
便宜	HSK2	biàn yí	convenient
别	HSK2	Bié	surname Bie
唱歌	HSK2	chàng gē	to sing a song
出	HSK2	chū	to go out; to come out
穿	HSK2	chuān	to wear; to put on
船	HSK2	chuán	variant of 船
次	HSK2	cì	next in sequence; second
从	HSK2	cóng	variant of 从
错	HSK2	Cuò	surname Cuo
打篮球	HSK2	dǎ lán qiú	to play basketball
大家	HSK2	dà jiā	everyone; influential family
但是	HSK2	dàn shì	but; however
到	HSK2	dào	to reach; to arrive; to leave for; to go to
得	HSK2	dé	to obtain; to get
弟弟	HSK2	dì di	younger brother
第一	HSK2	dì yī	first; number one
懂	HSK2	dǒng	to understand; to comprehend
房间	HSK2	fáng jiān	room
非常	HSK2	fēi cháng	very; really; unusual; extraordinary
服务员	HSK2	fú wù yuán	waiter; waitress
高	HSK2	Gāo	surname Gao
告诉	HSK2	gào sù	to press charges; to file a complaint
哥哥	HSK2	gē ge	older brother
给	HSK2	gěi	to; for
公共汽车	HSK2	gōng gòng qì chē	bus
公斤	HSK2	gōng jīn	kilogram (kg)
公司	HSK2	gōng sī	company; firm; corporation
贵	HSK2	guì	expensive; noble
还	HSK2	Huán	surname Huan
孩子	HSK2	hái zi	child
好吃	HSK2	hǎo chī	tasty; delicious
号	HSK2	háo	roar; cry
黑	HSK2	Hēi	abbr. for Heilongjiang province 黑龙江
红	HSK2	Hóng	surname Hong
欢迎	HSK2	huān yíng	to welcome; welcome
回答	HSK2	huí dá	to reply; to answer; reply; answer
机场	HSK2	jī chǎng	airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship
鸡蛋	HSK2	jī dàn	(chicken) egg; hen's egg
件	HSK2	jiàn	item; component
教室	HSK2	jiào shì	classroom
介绍	HSK2	jiè shào	to introduce (sb to sb); to give a presentation
姐姐	HSK2	jiě jie	older sister
近	HSK2	jìn	near; close to
进	HSK2	jìn	to go forward; to advance
就	HSK2	jiù	(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after
觉得	HSK2	jué de	to think that ...; to feel that ...; to feel (uncomfortable etc)
咖啡	HSK2	kā fēi	coffee (loanword)
开始	HSK2	kāi shǐ	to begin; beginning
考试	HSK2	kǎo shì	to take an exam; exam
可能	HSK2	kě néng	might (happen); possible
可以	HSK2	kě yǐ	can; may
课	HSK2	kè	subject; course
快	HSK2	kuài	rapid; quick
快乐	HSK2	kuài lè	happy; joyful
累	HSK2	lěi	to accumulate; to involve or implicate (Taiwan pr. [lèi])
离	HSK2	chī	mythical beast (archaic)
两	HSK2	liǎng	two; both
路	HSK2	Lù	surname Lu
旅游	HSK2	lǚ yóu	trip; journey
卖	HSK2	mài	to sell; to betray
慢	HSK2	màn	slow
忙	HSK2	máng	busy; hurriedly
每	HSK2	měi	each; every
妹妹	HSK2	mèi mei	younger sister; young woman
门	HSK2	Mén	surname Men
男人	HSK2	nán rén	a man; a male
您	HSK2	nín	you (courteous, as opposed to informal 你)
牛奶	HSK2	niú nǎi	cow's milk
女人	HSK2	nǚ rén	woman
旁边	HSK2	páng biān	side; adjacent place
跑步	HSK2	pǎo bù	to run; to jog
票	HSK2	piào	ticket; ballot
妻子	HSK2	qī zǐ	wife and children
起床	HSK2	qǐ chuáng	to get out of bed; to get up
千	HSK2	qiān	thousand
晴	HSK2	qíng	clear; fine (weather)
去年	HSK2	qù nián	last year
让	HSK2	ràng	to yield; to permit
上班	HSK2	shàng bān	to go to work; to be on duty
身体	HSK2	shēn tǐ	the body; one's health
生病	HSK2	shēng bìng	to fall ill
生日	HSK2	shēng rì	birthday
时间	HSK2	shí jiān	time; period
事情	HSK2	shì qing	affair; matter; thing; business
手表	HSK2	shǒu biǎo	wristwatch
手机	HSK2	shǒu jī	cell phone; mobile phone
送	HSK2	sòng	to send; to deliver; to transmit; to give (as a present)
所以	HSK2	suǒ yǐ	therefore; as a result
它	HSK2	tā	it
踢	HSK2	tī	to kick; to play (e.g. soccer)
题	HSK2	Tí	surname Ti
跳舞	HSK2	tiào wǔ	to dance
外	HSK2	wài	outside; in addition
完	HSK2	wán	to finish; to be over
玩	HSK2	wán	to play; to have fun
晚上	HSK2	wǎn shang	evening; night
为	HSK2	wéi	as (in the capacity of); to take sth as
问	HSK2	wèn	to ask; to inquire
问题	HSK2	wèn tí	question; problem
希望	HSK2	xī wàng	to hope; a hope; a wish
洗	HSK2	xǐ	to wash; to bathe; to develop (photographs)
西瓜	HSK2	xī guā	watermelon
向	HSK2	Xiàng	surname Xiang
小时	HSK2	xiǎo shí	hour
笑	HSK2	xiào	old variant of 笑
新	HSK2	Xīn	abbr. for Xinjiang 疆 or Singapore 坡; surname Xin
姓	HSK2	xìng	family name; surname
休息	HSK2	xiū xi	rest; to rest
雪	HSK2	Xuě	surname Xue
颜色	HSK2	yán sè	color; countenance
眼睛	HSK2	yǎn jing	eye
羊肉	HSK2	yáng ròu	mutton; goat meat
药	HSK2	yào	leaf of the iris; variant of 药
要	HSK2	yāo	(bound form) to demand; to coerce
也	HSK2	Yě	surname Ye
一起	HSK2	yī qǐ	in the same place; together
已经	HSK2	yǐ jīng	already
意思	HSK2	yì si	idea; opinion
因为	HSK2	yīn wèi	because; owing to
阴	HSK2	Yīn	surname Yin
游泳	HSK2	yóu yǒng	swimming; to swim
右边	HSK2	yòu bian	right side; right, to the right
鱼	HSK2	Yú	surname Yu
元	HSK2	Yuán	surname Yuan; the Yuan or Mongol dynasty (1279-1368)
远	HSK2	yuǎn	far; distant
运动	HSK2	yùn dòng	to move; to exercise
再	HSK2	zài	again; once more; re-; second; another
早上	HSK2	zǎo shang	early morning
张	HSK2	Zhāng	surname Zhang
长	HSK2	cháng	length; long
丈夫	HSK2	zhàng fu	husband
找	HSK2	zhǎo	to try to find; to look for
着	HSK2	zhāo	(chess) move; trick
真	HSK2	zhēn	really; truly
正在	HSK2	zhèng zài	just at (that time); right in (that place)
知道	HSK2	zhī dào	to know; to become aware of; also pr. [zhī dao]
准备	HSK2	zhǔn bèi	preparation; to prepare
自行车	HSK2	zì xíng chē	bicycle; bike
走	HSK2	zǒu	to walk; to go
最	HSK2	zuì	variant of 最
左边	HSK2	zuǒ bian	left; the left side
阿姨	HSK3	ā yí	maternal aunt; step-mother
啊	HSK3	ā	interjection of surprise; Ah!
矮	HSK3	ǎi	low; short (in length)
爱好	HSK3	ài hào	to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
安静	HSK3	ān jìng	quiet; peaceful
把	HSK3	bǎ	to hold; to grasp; to hold a baby in position to help it urinate or defecate
班	HSK3	Bān	surname Ban
搬	HSK3	bān	to move (i.e. relocate oneself); to move (sth relatively heavy or bulky)
办法	HSK3	bàn fǎ	means; method
办公室	HSK3	bàn gōng shì	office; business premises
半	HSK3	bàn	half; semi-
帮忙	HSK3	bāng máng	to help; to lend a hand
包	HSK3	Bāo	surname Bao
饱	HSK3	bǎo	to eat till full; satisfied
北方	HSK3	běi fāng	north; the northern part a country
被	HSK3	bèi	quilt; to cover (with)
鼻子	HSK3	bí zi	nose
比较	HSK3	bǐ jiào	to compare; to contrast
比赛	HSK3	bǐ sài	competition (sports etc); match
必须	HSK3	bì xū	to have to; must
变化	HSK3	biàn huà	(intransitive) to change; to vary; change; variation
表示	HSK3	biǎo shì	to express; to show
表演	HSK3	biǎo yǎn	play; show
别人	HSK3	bié ren	other people; others; other person
宾馆	HSK3	bīn guǎn	guesthouse; lodge
冰箱	HSK3	bīng xiāng	icebox; freezer cabinet
才	HSK3	cái	ability; talent; sb of a certain type
菜单	HSK3	cài dān	menu
参加	HSK3	cān jiā	to participate; to take part
草	HSK3	cǎo	variant of 草
层	HSK3	céng	to pile on top of one another; layer; stratum
差	HSK3	chā	difference; discrepancy; (math.) difference (amount remaining after a subtraction)
超市	HSK3	chāo shì	supermarket (abbr. for 超级市场)
衬衫	HSK3	chèn shān	shirt; blouse
成绩	HSK3	chéng jì	achievement; performance records
城市	HSK3	chéng shì	city; town
迟到	HSK3	chí dào	to arrive late
出现	HSK3	chū xiàn	to appear; to arise
除了	HSK3	chú le	besides; apart from (... also...)
厨房	HSK3	chú fáng	kitchen
春	HSK3	chūn	old variant of 春
词语	HSK3	cí yǔ	word (general term including monosyllables through to short phrases); term (e.g. technical term)
聪明	HSK3	cōng ming	intelligent; clever
打扫	HSK3	dǎ sǎo	to clean; to sweep
打算	HSK3	dǎ suàn	to plan; to intend
带	HSK3	dài	band; belt
担心	HSK3	dān xīn	anxious; worried
蛋糕	HSK3	dàn gāo	cake
当然	HSK3	dāng rán	only natural; as it should be
地	HSK3	de	-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
地方	HSK3	dì fāng	region; regional (away from the central administration)
地铁	HSK3	dì tiě	underground railway; subway; subway train
地图	HSK3	dì tú	map
灯	HSK3	dēng	lamp; light
低	HSK3	dī	low; beneath
电梯	HSK3	diàn tī	elevator; escalator
电子	HSK3	diàn zǐ	electronic; electron (particle physics)
东	HSK3	Dōng	surname Dong
冬	HSK3	dōng	winter
动物	HSK3	dòng wù	animal
短	HSK3	duǎn	short; brief
段	HSK3	Duàn	surname Duan
锻炼	HSK3	duàn liàn	to toughen; to temper
多么	HSK3	duō me	how (wonderful etc); what (a great idea etc)
饿	HSK3	è	to be hungry; hungry
而且	HSK3	ér qiě	(not only ...) but also; moreover
耳朵	HSK3	ěr duo	ear; handle (on a cup)
发烧	HSK3	fā shāo	to have a high temperature (from illness); to have a fever
发现	HSK3	fā xiàn	to notice; to become aware of; to discover; to find; to detect
方便	HSK3	fāng biàn	convenient; suitable
放	HSK3	fàng	to put; to place
放心	HSK3	fàng xīn	to feel relieved; to feel reassured
分	HSK3	fēn	to divide; to separate; to distribute; to allocate
附近	HSK3	fù jìn	nearby; neighboring; (in the) vicinity (of); neighborhood
复习	HSK3	fù xí	to review; revision
敢	HSK3	gǎn	to dare; daring
感冒	HSK3	gǎn mào	to catch cold; (common) cold
干净	HSK3	gān jìng	clean; neat
刚才	HSK3	gāng cái	just now; a moment ago
根据	HSK3	gēn jù	according to; based on
跟	HSK3	gēn	heel; to follow closely
更	HSK3	gēng	to change or replace; to experience
公园	HSK3	gōng yuán	park (for public recreation)
故事	HSK3	gù shì	old practice
刮	HSK3	guā	to scrape; to blow
关	HSK3	Guān	surname Guan
关系	HSK3	guān xi	relation; relationship
关心	HSK3	guān xīn	to be concerned about; to care about
关于	HSK3	guān yú	pertaining to; concerning
国家	HSK3	guó jiā	country; nation; state
果汁	HSK3	guǒ zhī	fruit juice
过去	HSK3	guò qù	(in the) past; former
还是	HSK3	hái shi	still (as before); had better
害怕	HSK3	hài pà	to be afraid; to be scared
河	HSK3	hé	river
黑板	HSK3	hēi bǎn	blackboard
护照	HSK3	hù zhào	passport
花	HSK3	Huā	surname Hua
花园	HSK3	huā yuán	garden
画	HSK3	huà	to draw; to paint; picture; painting
坏	HSK3	huài	bad; spoiled
环境	HSK3	huán jìng	environment; circumstances
换	HSK3	huàn	to exchange; to change (clothes etc)
黄	HSK3	Huáng	surname Huang or Hwang
会议	HSK3	huì yì	meeting; conference
或者	HSK3	huò zhě	or; possibly; maybe; perhaps
机会	HSK3	jī huì	opportunity; chance
极	HSK3	jí	extremely; pole (geography, physics)
几乎	HSK3	jī hū	almost; nearly; practically
记得	HSK3	jì de	to remember
季节	HSK3	jì jié	time; season
检查	HSK3	jiǎn chá	inspection; to examine
简单	HSK3	jiǎn dān	simple; not complicated
见面	HSK3	jiàn miàn	to meet; to see each other
健康	HSK3	jiàn kāng	health; healthy
讲	HSK3	jiǎng	to speak; to explain
角	HSK3	Jué	surname Jue
脚	HSK3	jiǎo	foot; leg (of an animal or an object)
教	HSK3	Jiào	surname Jiao
接	HSK3	jiē	to receive; to answer (the phone)
街道	HSK3	jiē dào	street; subdistrict
节目	HSK3	jié mù	program; item (on a program)
节日	HSK3	jié rì	holiday; festival
结婚	HSK3	jié hūn	to marry; to get married
结束	HSK3	jié shù	termination; to finish
解决	HSK3	jiě jué	to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)
借	HSK3	jiè	to lend; to borrow
经常	HSK3	jīng cháng	frequently; constantly; regularly; often; day-to-day; everyday; daily
经过	HSK3	jīng guò	to pass; to go through
经理	HSK3	jīng lǐ	manager; director
久	HSK3	jiǔ	(long) time; (long) duration of time
旧	HSK3	jiù	old; opposite: new 新
举行	HSK3	jǔ xíng	to hold (a meeting, ceremony etc)
句子	HSK3	jù zi	sentence
决定	HSK3	jué dìng	to decide (to do something); to resolve
可爱	HSK3	kě ài	adorable; cute
渴	HSK3	kě	thirsty
刻	HSK3	kè	quarter (hour); moment
客人	HSK3	kè rén	visitor; guest
空调	HSK3	kōng tiáo	air conditioning; air conditioner (including units that have a heating mode)
口	HSK3	kǒu	mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)
哭	HSK3	kū	to cry; to weep
裤子	HSK3	kù zi	variant of 裤子, trousers; pants
筷子	HSK3	kuài zi	chopsticks
蓝	HSK3	Lán	surname Lan
老	HSK3	lǎo	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people)
了解	HSK3	liǎo jiě	to understand; to realize
离开	HSK3	lí kāi	to depart; to leave
礼物	HSK3	lǐ wù	gift; present
历史	HSK3	lì shǐ	history
脸	HSK3	liǎn	face
练习	HSK3	liàn xí	to practice; exercise
辆	HSK3	liàng	classifier for vehicles
邻居	HSK3	lín jū	neighbor; next door
楼	HSK3	Lóu	surname Lou
绿	HSK3	lǜ	green; (slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend)
马	HSK3	Mǎ	surname Ma; abbr. for Malaysia 马来西亚
马上	HSK3	mǎ shàng	at once; right away
满意	HSK3	mǎn yì	satisfied; pleased
帽子	HSK3	mào zi	hat; cap
米	HSK3	Mǐ	surname Mi
面包	HSK3	miàn bāo	bread
面条	HSK3	miàn tiáo	noodles
明白	HSK3	míng bai	clear; obvious
拿	HSK3	ná	old variant of 拿
奶奶	HSK3	nǎi nai	(informal) grandma (paternal grandmother); (respectful) mistress of the house
南	HSK3	Nán	surname Nan
难	HSK3	nán	difficult (to...); problem
难过	HSK3	nán guò	to feel sad; to feel unwell
年级	HSK3	nián jí	grade; year (in school, college etc)
年轻	HSK3	nián qīng	young
鸟	HSK3	diǎo	variant of 屌; penis
努力	HSK3	nǔ lì	to make an effort; to try hard; to strive; hard-working; conscientious
爬山	HSK3	pá shān	to climb a mountain; to mountaineer
盘子	HSK3	pán zi	tray; plate
胖	HSK3	pán	healthy; at ease
啤酒	HSK3	pí jiǔ	beer (loanword)
葡萄	HSK3	pú tao	grape
普通话	HSK3	pǔ tōng huà	Mandarin (common language); Putonghua (common speech of the Chinese language)
其实	HSK3	qí shí	actually; in fact; really
其他	HSK3	qí tā	other; (sth or sb) else
奇怪	HSK3	qí guài	strange; odd
骑	HSK3	jì	(Tw) saddle horse; mounted soldier
铅笔	HSK3	qiān bǐ	(lead) pencil
清楚	HSK3	qīng chu	clear; distinct
秋	HSK3	Qiū	surname Qiu
裙子	HSK3	qún zi	skirt
然后	HSK3	rán hòu	then; after that; afterwards
热情	HSK3	rè qíng	cordial; enthusiastic
认为	HSK3	rèn wéi	to believe; to think; to consider; to feel
认真	HSK3	rèn zhēn	conscientious; earnest
容易	HSK3	róng yì	easy; straightforward; likely; liable to; apt to
如果	HSK3	rú guǒ	if; in case
伞	HSK3	sǎn	umbrella; parasol
上网	HSK3	shàng wǎng	to go online; to connect to the Internet
生气	HSK3	shēng qì	to get angry; to take offense
声音	HSK3	shēng yīn	voice; sound
使	HSK3	shǐ	to make; to cause
世界	HSK3	shì jiè	world
瘦	HSK3	shòu	thin; to lose weight
叔叔	HSK3	shū shu	father's younger brother; uncle
舒服	HSK3	shū fu	comfortable; feeling well
树	HSK3	shù	tree; to cultivate
数学	HSK3	shù xué	mathematics; mathematical
刷	HSK3	shuā	to brush; to paint
双	HSK3	Shuāng	surname Shuang
水平	HSK3	shuǐ píng	level (of achievement etc); standard
司机	HSK3	sī jī	chauffeur; driver
虽然	HSK3	suī rán	although; even though (often used correlatively with 是 or 是 etc)
太阳	HSK3	tài yang	sun; abbr. for 太阳穴
糖	HSK3	táng	sugar; sweets
特别	HSK3	tè bié	unusual; special; very; especially; particularly
疼	HSK3	téng	(it) hurts; sore; to love dearly
提高	HSK3	tí gāo	to raise; to increase
体育	HSK3	tǐ yù	sports; physical education
甜	HSK3	tián	sweet
条	HSK3	tiáo	strip; item
同事	HSK3	tóng shì	colleague; co-worker
同意	HSK3	tóng yì	to agree; to consent
头发	HSK3	tóu fa	hair (on the head)
突然	HSK3	tū rán	sudden; abrupt; unexpected
图书馆	HSK3	tú shū guǎn	library
腿	HSK3	tuǐ	leg
完成	HSK3	wán chéng	to complete; to accomplish
碗	HSK3	wǎn	variant of 碗
万	HSK3	mò	used in 俟
忘记	HSK3	wàng jì	to forget
为了	HSK3	wèi le	for; for the purpose of; in order to
为什么	HSK3	wèi shén me	why?; for what reason?
位	HSK3	wèi	position; location
文化	HSK3	wén huà	culture; civilization
习惯	HSK3	xí guàn	habit; custom
洗手间	HSK3	xǐ shǒu jiān	toilet; lavatory
洗澡	HSK3	xǐ zǎo	to bathe; to take a shower
西	HSK3	Xī	the West; abbr. for Spain 牙
夏	HSK3	Xià	the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432)
先	HSK3	xiān	early; prior
相同	HSK3	xiāng tóng	identical; same
相信	HSK3	xiāng xìn	to be convinced (that sth is true); to believe; to accept sth as true
香蕉	HSK3	xiāng jiāo	banana
像	HSK3	xiàng	to resemble; to be like
小心	HSK3	xiǎo xīn	to be careful; to take care
校长	HSK3	xiào zhǎng	(college, university) president; headmaster
鞋	HSK3	xié	shoe
新闻	HSK3	xīn wén	news
新鲜	HSK3	xīn xiān	fresh (experience, food etc); freshness
信	HSK3	xìn	letter; mail
行李箱	HSK3	xíng li xiāng	suitcase; baggage compartment
兴趣	HSK3	xìng qù	interest (desire to know about sth); interest (thing in which one is interested); hobby
熊猫	HSK3	xióng māo	panda
需要	HSK3	xū yào	to need; to want; to demand; to require; needs
选择	HSK3	xuǎn zé	to select; to pick
眼镜	HSK3	yǎn jìng	spectacles; eyeglasses
要求	HSK3	yāo qiú	to request; to require
爷爷	HSK3	yé ye	(coll.) father's father; paternal grandfather
一般	HSK3	yī bān	same; ordinary
一边	HSK3	yī biān	one side; either side
一定	HSK3	yī dìng	surely; certainly
一共	HSK3	yī gòng	altogether
一会儿	HSK3	yī huì r	a moment; a while
一样	HSK3	yī yàng	same; like
一直	HSK3	yī zhí	straight (in a straight line); continuously; always; all the way through
以后	HSK3	yǐ hòu	after; later
以前	HSK3	yǐ qián	before; formerly
以为	HSK3	yǐ wéi	to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
音乐	HSK3	yīn yuè	music
银行	HSK3	yín háng	bank
应该	HSK3	yīng gāi	ought to; should
影响	HSK3	yǐng xiǎng	influence; effect
用	HSK3	yòng	to use; to employ
游戏	HSK3	yóu xì	game; to play
有名	HSK3	yǒu míng	famous; well-known
又	HSK3	yòu	(once) again; also
遇到	HSK3	yù dào	to meet; to run into; to come across
愿意	HSK3	yuàn yì	to wish; to want
月亮	HSK3	yuè liang	the moon
越	HSK3	Yuè	generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南
云	HSK3	yún	(classical) to say
站	HSK3	zhàn	station; to stand
照顾	HSK3	zhào gu	to take care of; to show consideration
照片	HSK3	zhào piàn	photograph; picture
照相机	HSK3	zhào xiàng jī	camera
着急	HSK3	zháo jí	to worry; to feel anxious; to feel a sense of urgency; to be in a hurry
只	HSK3	zhǐ	only; merely
中间	HSK3	zhōng jiān	the middle; the inside; in the middle; within; between; among
终于	HSK3	zhōng yú	at last; in the end
种	HSK3	zhǒng	seed; species
重要	HSK3	zhòng yào	important; significant
周末	HSK3	zhōu mò	weekend
主要	HSK3	zhǔ yào	main; principal
注意	HSK3	zhù yì	to take note of; to pay attention to
祝	HSK3	Zhù	surname Zhu
字典	HSK3	zì diǎn	Chinese character dictionary (containing entries for single characters, contrasted with a 词典, which has entries for words of one or more characters); (coll.) dictionary
自己	HSK3	zì jǐ	oneself; one's own
总是	HSK3	zǒng shì	always
最近	HSK3	zuì jìn	recently; soon
作业	HSK3	zuò yè	school assignment; homework
作用	HSK3	zuò yòng	to act on; to affect
